Nome,Categoria,Status,Duracao,Preco,Sessoes,Desconto_Max,Recorrencia,Qtd_FAQs,Servicos_Vinculados,Criado_em,Atualizado_em,Descricao
APARELHOS,Estética Corporal,Ativo,1h,200.00,1,,,0,,20/03/2026,20/03/2026,
APLICAÇÃO DE ENZIMAS,Estética Corporal,Ativo,30min,297.90,,,,0,,23/02/2026,23/02/2026,"🔥 Redução de gordura localizada: As enzimas agem diretamente nas células de gordura, ajudando na quebra e eliminação da adiposidade em regiões como abdômen, flancos, culotes, papada, braços, entre outros. 💪 Melhora do contorno corporal: Com a redução das medidas, o corpo fica mais modelado e definido, sem a necessidade de cirurgia. 💉 Procedimento rápido e seguro: As aplicações são feitas por meio de injeções superficiais, com sessões rápidas e praticamente indolores. 💧 Melhora da celulite e da retenção de líquidos: Dependendo da formulação, as enzimas também podem melhorar o aspecto da celulite e estimular o sistema linfático. 🌱 Tratamento personalizado: As enzimas podem ser combinadas de acordo com as necessidades de cada paciente, tornando o protocolo mais eficiente e direcionado. ⏳ Resultados progressivos e visíveis: Os efeitos aparecem ao longo das sessões, com melhora contínua do contorno corporal e da qualidade da pele."
AVALIAÇÃO CRIOLIPÓLISE,Estética Corporal,Ativo,30min,0.00,,,,0,,20/02/2026,20/02/2026,A avaliação Gratuita está disponivel apenas para o Procedimento de Criolipólise.
BIOESTIMULADOR DE COLÁGENO,Estética Facial,Ativo,1h,1897.00,,,,0,,25/02/2026,25/02/2026,
BOTOX,Estética Facial,Ativo,1h,899.90,,,6 meses,0,,25/02/2026,25/02/2026,
CÁPSULA,Suplementação,Ativo,1min,200.00,,,,0,,06/03/2026,06/03/2026,
CINTA MODELADORA,Estética Corporal,Ativo,5min,250.00,,,,0,,20/03/2026,20/03/2026,
CONSULTA INTEGRATIVA,(sem categoria),Ativo,1h,100.00,,,,0,,07/08/2026,07/08/2026,
CRIO 360º,Estética Corporal,Ativo,4h,1497.90,,,,12,,04/03/2026,04/03/2026,"✅ SESSÃO ÚNICA. ✅ [ *ABDOME*, *COSTAS* e *FLANCOS*]. ✅ TRATAMENTO INDOLOR. *BÔNUS*: 💊 CÁPSULA REDUX TURBO ➕ CINTA MODELADORA ➕ SESSÃO COM ULTRASSOM ➕ LASER INFRAVERMELHO"
CRIO AVANÇADA,(sem categoria),Ativo,6h,1997.90,,,,0,,23/04/2026,23/04/2026,"✅ SESSÃO ÚNICA. ✅ [ *ABDOME*, *COSTAS* e *FLANCOS*]. ✅ TRATAMENTO INDOLOR. *BÔNUS*: 💊 CÁPSULA REDUX TURBO ➕COMPLEXO DE VITAMINAS ➕ CINTA MODELADORA ➕ Pré crio"
CRIO DINAMIC FLACIDEZ,Estética Corporal,Ativo,1h,200.00,,,,0,,23/02/2026,23/02/2026,"Como os aplicadores são planos (placas), é possível tratar áreas onde o vácuo não alcança bem, como: Culotes e braços. Interno de coxa. Gordura infra-axilar. Regiões com pouca ""prega"" de gordura. Benefícios da Crio Dinâmica: Preservar o tônus muscular. Minimizar a flacidez que poderia surgir após a perda de volume de gordura."
CRIO TURBO,Criolipolise,Ativo,2h,797.90,1,,,12,,10/02/2026,10/02/2026,- Criolipólise ✅ SESSÃO ÚNICA. ✅ ABDOME COMPLETO. ✅ TRATAMENTO INDOLOR. *BÔNUS*: 💊 CÁPSULA REDUX TURBO ➕ ULTRASSOM ESTÉTICO. ➕ LASER VERMELHO.
